,Ranking,CUI1,CUI2,Term1,Term2
55,56,C0020175,C0038187,Hunger,Starvation
56,57,C0039128,C0018081,Syphilis,Gonorrhea
57,58,C0017628,C0289313,Glyburide,Avandia
58,59,C0162323,C0003862,Polyarthritides,Arthralgia
59,60,C0035435,C0162323,Rheumatism,Polyarthritides
60,61,C0282386,C0536495,Levaquin,Avelox
61,62,C0026946,C0005716,Mycosis,Blastomycoses
62,63,C0213771,C0073992,Spiriva,Serevent
63,64,C0030232,C1883552,Pallor,Weakness
64,65,C0232197,C0043031,Fibrillation,Coumadin
65,66,C2004489,C0018834,Regurgitation,Heartburn
66,67,C0040485,C0037763,Torticollis,Spasm
67,68,C0027121,C0026848,Myositis,Myopathy
68,69,C0003128,C0002453,Anovulation,Amenorrhoea
69,70,C0009262,C0033209,Colchicine,Probenecid
70,71,C0039128,C0220892,Syphilis,Penicillin
71,72,C0003864,C0003862,Arthritis,Arthralgia
72,73,C0332566,C0332573,Maculopapule,Macule
73,74,C0007559,C0007561,Ceftazidime,Ceftiaxone
74,75,C0220892,C0007546,Penicillin,Cefazolin
75,76,C0035508,C0034642,Rhonchi,Rales
76,77,C0013404,C0213771,Dyspnea,Spiriva
77,78,C0000970,C0020740,Tylenol,Motrin
78,79,C0011847,C0032617,Diabetes,Polyuria
79,80,C0116569,C0002598,Esmolol,Amiodarone
80,81,C0557875,C0751229,Tiredness,Hypersomnolence
81,82,C0014038,C0018681,Encephalitis,Headache
82,83,C0013404,C0010520,Dyspnea,Cyanosis
83,84,C0001367,C0209227,Zovirax,Famvir
84,85,C0033687,C0011847,Proteinuria,Diabetes
85,86,C0031412,C0042291,Phenobarbital,Valproic Acid
86,87,C0012265,C0012373,Digoxin,Cardizem
87,88,C1623038,C0018926,Cirrhosis,Hematemesis
88,89,C0027497,C0027498,Nausea,Vomiting
89,90,C0014038,C0025289,Encephalitis,Meningitis
90,91,C0442874,C0039128,Neuropathy,Syphilis
91,92,C0442874,C0011847,Neuropathy,Diabetes
92,93,C0011847,C0085602,Diabetes,Polydipsia
93,94,C0022251,C0025859,Isosorbide,Toprol-XR
94,95,C0025289,C0007561,Meningitis,Ceftiaxone
95,96,C0242339,C0286651,Dyslipidemia,Lipitor
96,97,C0040038,C0232197,Thromboembolism,Fibrillation
97,98,C0043031,C0004057,Coumadin,Aspirin
98,99,C0006277,C0032285,Bronchitis,Pneumonia
99,100,C0011633,C0026848,Dermatomyositis,Myopathy
100,101,C0018926,C0027498,Hematemesis,Vomiting
101,102,C0028754,C0076275,Obesity,Xenical
102,103,C0036572,C0031507,Seizures,Dilantin
103,104,C0004153,C0858529,Atherosclerosis,Cardialgia
104,105,C0043528,C0032064,zoonosis,Plague
105,106,C0030193,C0026549,Pain,Morphine
106,107,C0032617,C0162275,Polyuria,Ketonuria
107,108,C0376286,C0038187,Avitaminoses,Starvation
108,109,C0020676,C0040165,Hypothyroidism,Synthroid
109,110,C0018834,C0081876,Heartburn,Protonix
110,111,C0392071,C0008809,Prostatorrhea,Cipro
111,112,C0009186,C0019655,Coccidioidomycosis,Histoplasmosis
112,113,C0011175,C0038187,Dehydration,Starvation
113,114,C0026946,C0025289,Mycoses,Meningitis
114,115,C0027497,C0061851,Nausea,Zofran
115,116,C0081876,C0006681,Protonix,Tums
116,117,C0040038,C0019134,Thromboembolism,Heparin
117,118,C0009024,C0037763,Clonus,Spasm
118,119,C0052796,C0008809,Zithromax,Cipro
119,120,C0040038,C0043031,Thromboembolism,Coumadin
120,121,C0242453,C0392071,Prostatism,Prostatorrhea
121,122,C0040038,C0013404,Thromboembolism,Dyspnea
122,123,C0039128,C0497327,Syphilis,Dementias
123,124,C0025289,C0042313,Meningitis,Vancocin
124,125,C0032285,C0036690,Pneumoniae,Septicemia
125,126,C0031763,C0011603,Photosensitization,Dermatitis
126,127,C1883552,C0013911,Weakness,Emaciation
127,128,C1623038,C0018995,Cirrhosis,Hemochromatosis
128,129,C0030232,C0948786,Pallor,Blanching
129,130,C0022116,C0286651,Ischemias,Lipitor
130,131,C0001927,C0073992,Albuterol,Serevent
131,132,C0020676,C0557875,Hypothyroidism,Tiredness
132,133,C0014544,C0031412,Epilepsy,Phenobarbital
133,134,C0079083,C0061851,Carboplatin,Zofran
134,135,C0006277,C0073992,Bronchitis,Serevent
135,136,C0019079,C0043031,Hemoptysis,Coumadin
136,137,C0004153,C0002962,Atherosclerosis,Angina
137,138,C0232471,C0020175,Thirsty,Hunger
138,139,C0232471,C0016860,Thirsty,Lasix
139,140,C0003615,C0031154,Appendicitis,Peritonitis
140,141,C0885057,C0016157,Garlic,Fish Oil
141,142,C0001824,C0002871,Agranulocytosis,Anemia
142,143,C0149651,C0013404,Clubbing,Dyspnea
143,144,C0015300,C0040165,Exophthalmos,Synthroid
144,145,C0033687,C0065374,Proteinuria,Lisinopril
145,146,C0011175,C0013369,Dehydration,Dysentery
146,147,C0074554,C0016157,Zocor,Fish Oil
147,148,C0035435,C0000970,Rheumatism,Tylenol
148,149,C0009421,C0020456,comatose,Hyperglycemia
149,150,C0242339,C0016157,Dyslipidemia,Fish Oil
150,151,C0009014,C0025859,Catapres,Toprol-XR
151,152,C0021400,C0002403,Influenzae,Amantadine
152,153,C0036572,C0042291,Seizures,Valproic Acid
153,154,C0019158,C0019209,Hepatitis,Hepatomegaly
154,155,C0019079,C0018926,Hemoptysis,Hematemesis
155,156,C0020676,C1883552,Hypothyroidism,Weakness
156,157,C0030232,C0060277,Pallor,Iron
157,158,C0021400,C0032285,Influenza,Pneumoniae
158,159,C0011175,C0039070,Dehydration,Syncope
159,160,C0002871,C0206160,Anemia,Reticulocytosis
160,161,C0070166,C0286651,Plavix,Lipitor
161,162,C0018834,C0015620,Heartburn,Pepcid
162,163,C0036494,C0007297,Seasickness,Carsickness
163,164,C0012833,C0001962,Dizziness,Ethanol
164,165,C0301532,C0039840,Banana Bag,Vitamin B1
165,166,C0039730,C0060277,Thalassemia,Iron
166,167,C0162275,C0021641,Ketonuria,Insulin
167,168,C0007398,C0023380,Catatonia,Lethargy
168,169,C0023530,C0005740,Leukopenia,Bleomycin
169,170,C1883552,C0074554,Weakness,Zocor
170,171,C0003615,C0007546,Appendicitis,Cefazolin
171,172,C0242339,C0008402,Dyslipidemia,Cholestyramine
172,173,C0020639,C0020175,Hypoproteinemia,Hunger
173,174,C0035435,C0032950,Rheumatism,Prednisolone
174,175,C0917801,C0085631,Sleeplessness,Agitation
175,176,C0232197,C0040165,Fibrillation,Synthroid
176,177,C0019158,C0000970,Hepatitis,Tylenol
177,178,C0018681,C0000970,Headache,Tylenol
178,179,C0025289,C0041296,Meningitis,Tuberculosis
179,180,C0036494,C0027497,Seasickness,Nausea
180,181,C0231655,C0025587,Scapulalgia,Metatarsalgia
181,182,C0878544,C0039070,Cardiomyopathies,Syncope
182,183,C0003862,C0000970,Arthralgia,Tylenol
183,184,C0009951,C0085208,Convulsion,Wellbutrin
184,185,C0032285,C0007561,Pneumoniae,Ceftiaxone
185,186,C0025289,C0025287,Meningitis,Meningism
186,187,C0002962,C0858529,Angina,Cardialgia
187,188,C0878544,C0002962,Cardiomyopathy,Angina
188,189,C0028754,C0037384,Obesity,Snoring
189,190,C0018995,C0003864,Hemochromatosis,Arthritis
190,191,C0178664,C0033687,Glomerulosclerosis,Proteinuria
191,192,C0086073,C0032950,Cromolyn,Prednisolone
192,193,C0013456,C0002645,Earache,Amoxil
193,194,C0036396,C0020740,Sciatica,Motrin
194,195,C0027121,C0286651,Myositis,Lipitor
195,196,C0021359,C0079083,Infertility,Carboplatin
196,197,C0040038,C0019079,Thromboembolism,Hemoptysis
197,198,C0009262,C0032950,Colchicine,Prednisolone
198,199,C0398623,C0043031,Thrombophilias,Coumadin
199,200,C0149651,C0213771,Clubbing,Spiriva
200,201,C0003126,C0003564,Anosmia,Aphonia
201,202,C0009951,C0006949,Convulsion,Carbatrol
202,203,C0017601,C0018681,Glaucoma,Headache
203,204,C0040822,C0023570,Tremor,Sinemet
204,205,C0004134,C0001962,Ataxia,Ethanol
205,206,C0022116,C0022251,Ischemias,Isosorbide
206,207,C0014544,C0024002,Epilepsy,Ativan
207,208,C0013404,C0025815,Dyspnea,Medrol
208,209,C0009951,C0001962,Convulsion,Ethanol
209,210,C0032285,C0013404,Pneumoniae,Dyspnea
210,211,C0009214,C0011816,Codeine,Robitussin
211,212,C0042313,C0017642,Vancocin,Glucotrol
212,213,C0022116,C0025859,Ischemias,Toprol-XR
213,214,C0232471,C0020175,Thirsty,Hunger
214,215,C0232197,C0004147,Fibrillation,Atenolol
215,216,C0032064,C0001416,Plague,Adenitis
216,217,C0013404,C0073992,Dyspnea,Serevent
217,218,C0029456,C0246719,Osteoporosis,Actonel
218,219,C0242339,C0020473,Dyslipidemia,Hyperlipidemia
219,220,C0016157,C0074554,Fish Oil,Zocor
220,221,C0027697,C0553735,Nephritis,Pyorrhea
221,222,C0024902,C0013456,Mastodynia,Earache
222,223,C0242339,C0002962,Dyslipidemia,Angina
223,224,C0016204,C0018520,Flatulence,Halitosis
224,225,C0013132,C0023570,Drooling,Sinemet
225,226,C0036572,C0006949,Seizures,Carbatrol
226,227,C0011991,C0009262,Diarrhea,Colchicine
227,228,C0027121,C0025815,Myositis,Medrol
228,229,C0025587,C0009262,Metatarsalgia,Colchicine
229,230,C0020550,C0036572,Hyperthyroidism,Seizures
230,231,C0009187,C0025289,Coccidioses,Meningitis
231,232,C0041296,C0019079,Tuberculosis,Hemoptysis
232,233,C0232197,C0002962,Fibrillation,Angina
233,234,C0017887,C0025859,Nitroglycerine,Toprol-XR
234,235,C0028351,C0033487,Levophed,Propofol
235,236,C0000786,C0023860,Abortions.spontaneous,Listeriosis
236,237,C0019158,C0018926,Hepatitis,Hematemesis
237,238,C0553735,C0027697,Pyorrhea,Nephritis
238,239,C0741439,C0025287,Bandemia,Meningism
239,240,C0035435,C0009262,Rheumatism,Colchicine
240,241,C0028734,C0011847,Nocturia,Diabetes
241,242,C0018995,C0003862,Hemochromatosis,Arthralgia
242,243,C0003864,C0025587,Arthritis,Metatarsalgia
243,244,C0023992,C0005632,Loperamide,Dulcolax
244,245,C0032617,C0021641,Polyuria,Insulin
245,246,C0235250,C0079083,Hyperemesis,Carboplatin
246,247,C0232197,C0878544,Fibrillation,Cardiomyopathies
247,248,C0751229,C0037384,Hypersomnolence,Snoring
248,249,C0003862,C0027796,Arthralgia,Neuralgia
249,250,C0032143,C0038418,Activase,Streptase
250,251,C0013456,C0034880,Earache,Hyperacusis
251,252,C0029456,C0032950,Osteoporosis,Prednisolone
252,253,C0442874,C0021641,Neuropathy,Insulin
253,254,C0003850,C0022116,Arteriosclerosis,Ischemias
254,255,C0030305,C0021641,Pancreatitis,Insulin
255,256,C0877781,C0018681,Hemicrania,Headache
256,257,C0003129,C0036572,Anoxemia,Seizures
257,258,C0242453,C0008809,Prostatism,Cipro
258,259,C0001975,C0012772,Alcohol,Antabuse
259,260,C0034642,C0016860,Rales,Lasix
260,261,C0021167,C0016860,Incontinence,Lasix
261,262,C0235250,C0061851,HYPEREMESIS,Zofran
262,263,C0006277,C0298130,Bronchitis,Singulair
263,264,C0039070,C1883552,Syncope,Weakness
264,265,C0040038,C0039070,Thromboembolism,Syncope
265,266,C1623038,C0002871,Cirrhosis,Anemia
266,267,C0016204,C0017687,Flatulence,Glucagen
267,268,C0232197,C0002962,Fibrillation,Angina
268,269,C0003864,C0002726,Arthritis,Amyloidoses
269,270,C0037354,C0042214,Smallpox,Vaccinia
270,271,C0114873,C0076107,Cardura,Hytrin
271,272,C0025287,C0001367,Meningism,Zovirax
272,273,C0020676,C0009421,Hypothyroidism,comatose
273,274,C0004147,C0016860,Atenolol,Lasix
274,275,C1623038,C0025677,Cirrhosis,Methotrexate
275,276,C0037384,C0001962,Snoring,Ethanol
276,277,C0878544,C0034642,Cardiomyopathy,Rales
277,278,C0018991,C0070166,Hemiplegia,Plavix
278,279,C0011603,C0995182,Dermatitis,Aloe Vera
279,280,C0019134,C0033603,Heparin,Protamine Sulfate
280,281,C0034642,C0010520,Rales,Cyanosis
281,282,C0741439,C1282609,Bandemia,Granulocytosis
282,283,C1883552,C0010137,Weakness,Cortisone
283,284,C0013090,C0220892,Doxycyline,Penicillin
284,285,C0028734,C0001962,Nocturia,Ethanol
285,286,C0002962,C0070166,Angina,Plavix
286,287,C0206160,C0004057,Reticulocytosis,Aspirin
287,288,C0009421,C0003129,comatose,Anoxemia
288,289,C0001416,C0038450,Adenitis,Stridor
289,290,C0002962,C0231618,Angina,Corkscrewing
290,291,C0037763,C0151818,Spasm,Opisthotonus
291,292,C0025605,C0040610,Methadone,Ultram
292,293,C0013132,C0006982,Drooling,Sinemet
293,294,C0003128,C0079083,Anovulation,Carboplatin
294,295,C0016860,C0024730,Lasix,Mannitol
295,296,C0041948,C0751229,Uremias,Hypersomnolence
296,297,C0086543,C0011847,Cataracts,Diabetes
297,298,C0008168,C0007561,Chloramphenicol,Ceftiaxone
298,299,C0055003,C0004899,Cefepime,Bacitracin
299,300,C0038450,C0037384,Stridor,Snoring
300,301,C0036494,C0001962,Seasickness,Ethanol
301,302,C0008838,C0061851,Cisplatin,Zofran
302,303,C0018834,C0020740,Heartburn,Motrin
303,304,C0002962,C0013404,Angina,Dyspnea
304,305,C0039070,C0004147,Syncope,Atenolol
305,306,C0030232,C0043031,Pallor,Coumadin
306,307,C0085631,C0040165,Agitation,Synthroid
307,308,C0239779,C0221169,Grimaces,Hemiballismus
308,309,C0032285,C1883552,Pneumoniae,Weakness
309,310,C0085635,C0018681,Photopsia,Headache
310,311,C0041296,C0149651,Tuberculosis,Clubbing
311,312,C0002871,C0043031,Anemia,Coumadin
312,313,C0032285,C0010520,Pneumonia,Cyanosis
313,314,C0041948,C0027497,Uremias,Nausea
314,315,C0877781,C0000970,Hemicrania,Tylenol
315,316,C0003864,C1623038,Arthritis,Cirrhosis
316,317,C0039070,C0002333,Syncope,Xanax
317,318,C0012833,C0004147,Dizziness,Atenolol
318,319,C0013428,C0008809,Dysuria,Cipro
319,320,C0034880,C0005740,Hyperacusis,Bleomycin
320,321,C0020676,C0021359,Hypothyroidism,Infertility
321,322,C0013404,C0085631,Dyspnea,Agitation
322,323,C0011053,C0004134,Deafness,Ataxia
323,324,C0005716,C0036572,Blastomycoses,Seizures
324,325,C0009214,C0027358,Codeine,Narcan
325,326,C0013404,C0027358,Dyspnea,Narcan
326,327,C0003128,C0013911,Anovulation,Emaciation
327,328,C0025587,C0040460,Metatarsalgia,Toothache
328,329,C0027358,C0026549,Narcan,Morphine
329,330,C0152149,C0040460,Mittelschmerz,Toothache
330,331,C0029877,C0025287,Otitis,Meningism
331,332,C0014544,C0001975,Epilepsy,Alcohol
332,333,C0009421,C0019158,Comatose,Hepatitis
333,334,C0018991,C0018681,Hemiplegia,Headache
334,335,C0003128,C0152149,Anovulation,Mittelschmerz
335,336,C0026848,C0234369,Myopathy,Trembling
336,337,C0041948,C0553735,Uremias,Pyorrhea
337,338,C0011175,C0006840,Dehydration,Candidiases
338,339,C0019079,C0033603,Hemoptysis,Protamine Sulfate
339,340,C0042755,C0013132,Virilism,Drooling
340,341,C0002871,C0070166,Anemia,Plavix
341,342,C0557875,C0004147,Tiredness,Atenolol
342,343,C0025287,C0020453,Meningism,Hyperesthesia
343,344,C0242339,C0032143,Dyslipidemia,Activase
344,345,C0030232,C0001924,Pallor,Albumin
345,346,C0085631,C0026549,Agitation,Morphine
346,347,C1623038,C0301532,Cirrhosis,Banana Bag
347,348,C0020639,C0020175,Hypoproteinemia,Hunger
348,349,C0016382,C0060277,Flushing,Iron
349,350,C0003850,C0008402,Arteriosclerosis,Cholestyramine
350,351,C0011991,C0007537,Diarrhea,Cefaclor
351,352,C0014544,C0022116,Epilepsy,Ischemia
352,353,C0019045,C0030193,Hemoglobinopathy,Pain
353,354,C0741439,C0027497,Bandemia,Nausea
354,355,C0041948,C0013911,Uremias,Emaciation
355,356,C1623038,C0074554,Cirrhosis,Zocor
356,357,C0003129,C0004134,Anoxemia,Ataxia
357,358,C0020550,C0029456,Hyperthyroidism,Osteoporosis
358,359,C0037384,C0038450,Snoring,Stridor
359,360,C0442874,C0025598,Neuropathy,Glucophage
360,361,C0027358,C0015846,Narcan,Duragesic
361,362,C0040165,C0279175,Synthroid,Armor Thyroid
362,363,C0003129,C0033487,Anoxemia,Propofol
363,364,C0442874,C0009806,Neuropathy,Constipation
364,365,C0019340,C0008370,Herpes,Cholestasis
365,366,C0011777,C0246719,Dexamethasone,Actonel
366,367,C0398623,C0019079,Thrombophilias,Hemoptysis
367,368,C0022116,C0013132,Ischemias,Drooling
368,369,C0041834,C0031507,Erythema,Dilantin
369,370,C0036494,C0001962,Seasickness,Ethanol
370,371,C0007398,C0027358,Catatonia,Narcan
371,372,C0010520,C0014563,Cyanosis,Primatine
372,373,C0276185,C0752270,Camelpox,Echinacea
373,374,C0684275,C0040038,Hemophilia,Thromboembolism
374,375,C0021641,C0017687,Insulin,Glucagen
375,376,C0004610,C0376288,Bacteremia,Amauroses
376,377,C0036690,C0013404,Septicemia,Dyspnea
377,378,C0034880,C0003564,Hyperacusis,Aphonia
378,379,C0014806,C0023660,Erythromycin,Lidocaine
379,380,C0206160,C0018926,Reticulocytosis,Hematemesis
380,381,C0017536,C0376286,Giardiasis,Avitaminoses
381,382,C0019270,C0006982,Hernia,Sinemet
382,383,C0034494,C0234990,Rabies,Head-Face-Neck-Syndrome
383,384,C0023530,C0220892,Leukopenia,Penicillin
384,385,C0037763,C0016860,Spasm,Lasix
385,386,C0018681,C0016382,Headache,Flushing
386,387,C0011847,C0033860,Diabetes,Psoriasis
387,388,C0030232,C0004057,Pallor,Aspirin
388,389,C0014544,C0003126,Epilepsy,Anosmia
389,390,C0002962,C0028351,Angina,Levophed
390,391,C0022116,C0152149,Ischemias,Mittelschmerz
391,392,C1257763,C0036572,Overnutrition,Seizures
392,393,C0013132,C0085593,Drooling,Chills
393,394,C0014563,C0028351,Primatine,Levophed
394,395,C0018021,C0011644,Goiter,Scleroderma
395,396,C0041948,C0020740,Uremias,Motrin
396,397,C0086543,C0021641,Cataracts,Insulin
397,398,C0017160,C0086073,Gastroenteritis,Cromolyn
398,399,C1623038,C0286651,Cirrhosis,Lipitor
399,400,C0006840,C0025815,Candidiasis,Medrol
400,401,C0026946,C0025815,Mycosis,Medrol
401,402,C0009187,C0025815,Coccidioses,Medrol
402,403,C0035435,C0917801,Rheumatism,Sleeplessness
403,404,C0013404,C0220892,Dyspnea,Penicillin
404,405,C0006840,C0392071,Candidiasis,Prostatorrhea
405,406,C0162275,C0016410,Ketonuria,Folic Acid
406,407,C0018995,C0003126,Hemochromatosis,Anosmia
407,408,C0001924,C0019134,Albumin,Heparin
408,409,C0036396,C0231236,Sciatica,Underexertion
409,410,C0042384,C0009951,Vasculitis,Convulsion
410,411,C0006949,C0031507,Carbatrol,Dilantin
411,412,C1883552,C0017687,Weakness,Glucagen
412,413,C0013456,C0233212,Earache,Crowning
413,414,C0028738,C0021167,Nystagmus,Incontinence
414,415,C0010520,C0016410,Cyanosis,Folic Acid
415,416,C0042384,C0018991,Vasculitis,Hemiplegia
416,417,C0149651,C0042878,Clubbing,Vitamin K
417,418,C0854467,C0037384,Myelosuppression,Snoring
418,419,C0026946,C0030193,Mycosis,Pain
419,420,C0019270,C0018021,Hernia,Goiter
420,421,C0028734,C0004899,Nocturia,Bacitracin
421,422,C0017160,C0021641,Gastroenteritis,Insulin
422,423,C0030305,C0332566,Pancreatitis,Maculopapule
423,424,C0232197,C0018520,Fibrillation,Halitosis
424,425,C0021359,C0232197,Infertility,Fibrillation
425,426,C0014806,C0002144,Erythromycin,Allopurinol
426,427,C0242706,C0076275,Hyperoxia,Xenical
427,428,C0023530,C0007537,Leukopenia,Cefaclor
428,429,C0040485,C0014806,Torticollis,Erythromycin
429,430,C0152447,C0040822,Urethrorrhea,Tremor
430,431,C0030305,C0086543,Pancreatitis,Cataract
431,432,C0026946,C0079083,Mycosis,Carboplatin
432,433,C0002940,C0947651,Aneurysm,Silvadene
433,434,C0231451,C0020175,Hyperextension,Hunger
434,435,C0005740,C0012772,Bleomycin,Antabuse
435,436,C0162275,C0159075,Ketonuria,Chyluria
436,437,C0003864,C0231236,Arthritis,Underexertion
437,438,C0036572,C0021641,Seizures,Insulin
438,439,C0242723,C0858529,Parasitemia,Cardialgia
439,440,C0017642,C0020740,Glucotrol,Motrin
440,441,C0014544,C0246719,Epilepsy,Actonel
441,442,C0040034,C0018834,Thrombocytopenia,Heartburn
442,443,C0037384,C0221232,Snoring,Welts
443,444,C0003128,C0006982,Anovulation,Sinemet
444,445,C0018021,C0042384,Goiter,Vasculitis
445,446,C0085593,C0037384,Chills,Snoring
446,447,C0005747,C0270327,Blepharospasm,Bedwetting
447,448,C1998461,C0025287,Allergy.,Meningism
448,449,C0038187,C0008838,Starvation,Cisplatin
449,450,C0033497,C0085259,Propranolol,Bactroban
450,451,C0242339,C0009806,Dyslipidemia,Constipation
451,452,C0009024,C0085208,Clonus,Wellbutrin
452,453,C0003862,C0149651,Arthralgia,Clubbing
453,454,C0041834,C0040822,Erythema,Tremor
454,455,C0018995,C0032617,Hemochromatosis,Polyuria
455,456,C0004134,C0009806,Ataxia,Constipation
456,457,C0085208,C0002600,Wellbutrin,Endep
457,458,C0152149,C0246719,Mittelschmerz,Actonel
458,459,C0086543,C0030305,Cataracts,Pancreatitis
459,460,C0040034,C0003864,Thrombocytopenia,Arthritis
460,461,C0036494,C0149651,Seasickness,Clubbing
461,462,C0028978,C0025598,Prilosec,Glucophage
462,463,C0231851,C0032617,Fish-mouthing,Polyuria
463,464,C0026946,C0286651,Mycosis,Lipitor
464,465,C0877781,C0017887,Hemicrania,Nitroglycerine
465,466,C0029456,C0878544,Osteoporosis,Cardiomyopathy
466,467,C0231236,C0042755,Underexertion,Virilism
467,468,C0061851,C0022046,Zofran,Ipecac Syrup
468,469,C0947651,C0022614,Silvadene,Ketamine
469,470,C0003126,C0012265,Anosmia,Digoxin
470,471,C0019655,C0032950,Histoplasmosis,Prednisolone
471,472,C0086543,C0231655,Cataracts,Scapulalgia
472,473,C0070166,C0021641,Plavix,Insulin
473,474,C0004096,C0451641,Asthma,Urolithiasis
474,475,C0033687,C0026196,Proteinuria,Rogaine
475,476,C0031763,C0003564,Photosensitization,Aphonia
476,477,C0031154,C0004134,Peritonitis,Ataxia
477,478,C0858529,C0023992,Cardialgia,Loperamide
478,479,C0017601,C0232197,Glaucoma,Fibrillation
479,480,C0032064,C0006644,Plague,Vivarin
480,481,C0017601,C0232197,Glaucoma,Fibrillation
481,482,C0003126,C0231617,Anosmia,Catch
482,483,C0086543,C0025598,Cataracts,Glucophage
483,484,C0026946,C0242453,Mycosis,Prostatism
484,485,C0002962,C0011991,Angina,Diarrhea
485,486,C0040165,C0023660,Synthroid,Lidocaine
486,487,C0009421,C0086543,comatose,Cataracts
487,488,C0086543,C0027358,Cataracts,Narcan
488,489,C0231451,C0004899,Hyperextension,Bacitracin
489,490,C0231451,C0017245,Hyperextension,Lopid
490,491,C0004153,C0021400,Atherosclerosis,Influenzae
491,492,C0034494,C0702166,Rabies,Acne
492,493,C0001047,C0001443,Acetylcysteine,Adenosine
493,494,C0232197,C0357929,Fibrillation,Calamine
494,495,C0041948,C0004057,Uremias,Aspirin
495,496,C0040460,C0004134,Toothache,Ataxia
496,497,C0032064,C0008402,Plague,Cholestyramine
497,498,C0022116,C0995182,Ischemias,Aloe Vera
498,499,C0242706,C0003129,Hyperoxia,Anoxemia
499,500,C0034642,C0034880,Rales,Hyperacusis
500,501,C0231655,C0017887,Scapulalgia,Nitroglycerine
501,502,C0003126,C0009806,Anosmia,Constipation
502,503,C0015300,C0242453,Exophthalmos,Prostatism
503,504,C0006277,C0023992,Bronchitis,Loperamide
504,505,C0037384,C0023992,Snoring,Loperamide
505,506,C0878544,C0000970,Cardiomyopathy,Tylenol
506,507,C0029456,C0087086,Osteoporosis,Thrombus
507,508,C0006982,C0018242,Sinemet,Gifulvin
508,509,C0159075,C0232955,Chyluria,Menouria
509,510,C0034494,C0947651,Rabies,Silvadene
510,511,C0242339,C0060277,Dyslipidemia,Iron
511,512,C0019270,C0497327,Hernias,Dementia
512,513,C0557875,C0042523,Tiredness,Calan
513,514,C0231655,C0018520,Scapulalgia,Halitosis
514,515,C0152447,C0003564,Urethrorrhea,Aphonia
515,516,C1257763,C0010592,Overnutrition,Sandimmune
516,517,C0039730,C0040822,Thalassemia,Tremor
517,518,C0002940,C0029456,Aneurysm,Osteoporosis
518,519,C0013369,C0116569,Dysentery,Esmolol
519,520,C0003128,C0040485,Anovulation,Torticollis
520,521,C0357929,C0005740,Calamine,Bleomycin
